team,wcyear,opponent,GF,GA,possession_number,shot,goal,wentback,timediff,players_behind,possess,Short,Medium,Long,No_passes,champion,round,goaldiff,,timediff,players_behind,passes
Spain,2014,Chile,0,2,4,F,F,F,1,6,T,0,1,0,F,F,G,-2,,,,1
Spain,2018,Morocco,2,2,53,F,F,F,1,6,T,0,0,0,T,F,G,0,,,,0
Spain,2018,Morocco,2,2,69,F,F,F,1,6,T,0,1,0,F,F,G,0,,,,1
Spain,2018,Portugal,3,3,24,F,F,F,1,6,T,1,1,0,F,F,G,0,,,,2
France,2010,Mexico,0,2,3,T,F,F,1,7,F,0,0,0,T,F,G,-2,,,,0
France,2010,Mexico,0,2,24,F,F,F,1,7,F,0,0,0,T,F,G,-2,,,,0
France,2010,South Africa,1,2,41,F,F,F,1,7,F,0,0,1,F,F,G,-1,,,,1
France,2010,Uruguay,0,0,91,F,F,F,1,7,F,0,0,0,T,F,G,0,,,,0
France,2014,Germany,0,1,1,F,F,F,1,7,F,0,1,0,F,F,QF,-1,,,,1
France,2014,Germany,0,1,32,F,F,F,1,7,F,0,1,0,F,F,QF,-1,,,,1
France,2014,Germany,0,1,82,F,F,T,1,7,F,0,1,0,F,F,QF,-1,,,,1
France,2014,Nigeria,2,0,16,F,F,F,1,7,F,0,1,0,F,F,S,2,,,,1
France,2014,Nigeria,2,0,33,T,F,F,1,7,F,0,1,0,F,F,S,2,,,,1
France,2018,Croatia,4,2,32,F,F,F,1,7,F,1,0,0,F,T,F,2,,,,1
Germany,2010,Australia,4,0,20,T,T,F,1,7,T,0,1,0,F,F,G,4,,,,1
Germany,2010,Australia,4,0,22,F,F,F,1,7,T,0,1,0,F,F,G,4,,,,1
Germany,2010,Australia,4,0,45,T,F,F,1,7,T,0,1,0,F,F,G,4,,,,1
Germany,2010,England,4,1,7,F,F,F,1,7,T,0,0,0,T,F,S,3,,,,0
Germany,2010,England,4,1,38,F,F,F,1,7,T,0,0,1,F,F,S,3,,,,1
Germany,2010,England,4,1,87,F,F,F,1,7,T,0,2,0,F,F,S,3,,,,2
Germany,2010,Serbia,0,1,47,F,F,F,1,7,T,0,1,0,F,F,G,-1,,,,1
Germany,2010,Spain,0,1,22,F,F,F,1,7,T,0,1,0,F,F,SF,-1,,,,1
Germany,2010,Uruguay,3,2,7,F,F,F,1,7,T,0,1,0,F,F,TPP,1,,,,1
Germany,2014,Algeria,2,1,49,T,F,F,1,7,T,0,1,0,F,T,S,1,,,,1
Germany,2014,Argentina,1,0,114,F,F,F,1,7,T,0,2,0,F,T,F,1,,,,2
Germany,2014,Brazil,7,1,67,F,F,F,1,7,T,0,1,0,F,T,SF,6,,,,1
Germany,2014,France,1,0,10,F,F,F,1,7,T,0,1,0,F,T,QF,1,,,,1
Germany,2014,France,1,0,20,F,F,F,1,7,T,0,1,0,F,T,QF,1,,,,1
Germany,2014,France,1,0,37,F,F,F,1,7,T,0,1,0,F,T,QF,1,,,,1
Germany,2014,France,1,0,84,F,F,F,1,7,T,0,1,0,F,T,QF,1,,,,1
Germany,2014,Ghana,2,2,14,F,F,F,1,7,T,0,1,0,F,T,G,0,,,,1
Germany,2014,Ghana,2,2,33,F,F,F,1,7,T,0,1,0,F,T,G,0,,,,1
Germany,2014,Ghana,2,2,47,F,F,F,1,7,T,0,1,0,F,T,G,0,,,,1
Germany,2018,Mexico,0,1,37,F,F,F,1,7,T,0,1,0,F,F,G,-1,,,,1
Spain,2010,Honduras,2,0,57,F,F,F,1,7,T,0,1,0,F,T,G,2,,,,1
Spain,2010,Netherlands,1,0,6,F,F,F,1,7,T,0,1,0,F,T,F,1,,,,1
Spain,2010,Portugal,1,0,27,F,F,F,1,7,T,1,0,0,F,T,S,1,,,,1
Spain,2014,Australia,3,0,2,F,F,F,1,7,T,0,1,0,F,F,G,3,,,,1
Spain,2014,Chile,0,2,76,F,F,T,1,7,T,0,1,0,F,F,G,-2,,,,1
Spain,2014,Netherlands,1,5,38,F,F,F,1,7,T,0,1,0,F,F,G,-4,,,,1
Spain,2018,Morocco,2,2,112,F,F,F,1,7,T,0,1,0,F,F,G,0,,,,1
Spain,2018,Morocco,2,2,113,T,T,F,1,7,T,0,1,0,F,F,G,0,,,,1
Spain,2018,Portugal,3,3,54,F,F,F,1,7,T,0,1,0,F,F,G,0,,,,1
Spain,2018,Russia,1,1,145,F,F,F,1,7,T,0,1,0,F,F,S,0,,,,1
France,2010,South Africa,1,2,64,F,F,T,1,8,F,1,1,0,F,F,G,-1,,,,2
France,2010,Uruguay,0,0,32,F,F,F,1,8,F,1,0,0,F,F,G,0,,,,1
France,2010,Uruguay,0,0,75,F,F,F,1,8,F,1,0,0,F,F,G,0,,,,1
France,2014,Germany,0,1,85,F,F,F,1,8,F,0,1,0,F,F,QF,-1,,,,1
France,2014,Nigeria,2,0,43,F,F,F,1,8,F,0,1,0,F,F,S,2,,,,1
France,2014,Switerland,5,2,35,F,F,F,1,8,F,0,1,0,F,F,G,3,,,,1
France,2018,Australia,2,1,31,F,F,F,1,8,F,0,1,0,F,T,G,1,,,,1
France,2018,Australia,2,1,58,F,F,T,1,8,F,0,1,0,F,T,G,1,,,,1
France,2018,Belgium,1,0,46,F,F,F,1,8,F,0,0,1,F,T,SF,1,,,,1
France,2018,Denmark,0,0,8,F,F,T,1,8,F,0,2,0,F,T,G,0,,,,2
France,2018,Peru,1,0,8,F,F,F,1,8,F,0,1,0,F,T,G,1,,,,1
France,2018,Uruguay,2,0,59,F,F,F,1,8,F,0,1,0,F,T,QF,2,,,,1
France,2018,Uruguay,2,0,87,F,F,F,1,8,F,0,0,1,F,T,QF,2,,,,1
Germany,2010,Argentina,4,0,15,F,F,F,1,8,T,0,1,0,F,F,QF,4,,,,1
Germany,2010,Argentina,4,0,23,T,F,F,1,8,T,0,2,0,F,F,QF,4,,,,2
Germany,2010,Australia,4,0,27,F,F,T,1,8,T,0,1,0,F,F,G,4,,,,1
Germany,2010,England,4,1,10,F,F,T,1,8,T,0,1,0,F,F,S,3,,,,1
Germany,2010,Spain,0,1,70,F,F,F,1,8,T,0,1,0,F,F,SF,-1,,,,1
Germany,2010,Uruguay,3,2,2,F,F,F,1,8,T,0,0,0,T,F,TPP,1,,,,0
Germany,2010,Uruguay,3,2,9,F,F,F,1,8,T,0,0,0,T,F,TPP,1,,,,0
Germany,2010,Uruguay,3,2,51,T,T,F,1,8,T,0,1,0,F,F,TPP,1,,,,1
Germany,2014,Algeria,2,1,90,F,F,T,1,8,T,0,1,0,F,T,S,1,,,,1
Germany,2014,Argentina,1,0,21,F,F,F,1,8,T,0,1,0,F,T,F,1,,,,1
Germany,2014,Argentina,1,0,33,F,F,T,1,8,T,0,1,0,F,T,F,1,,,,1
Germany,2014,Argentina,1,0,45,F,F,F,1,8,T,0,1,0,F,T,F,1,,,,1
Germany,2014,Argentina,1,0,51,F,F,F,1,8,T,0,1,0,F,T,F,1,,,,1
Germany,2014,France,1,0,31,F,F,F,1,8,T,0,1,0,F,T,QF,1,,,,1
Germany,2014,Ghana,2,2,61,F,F,F,1,8,T,0,1,0,F,T,G,0,,,,1
Germany,2014,Portgual,4,0,6,F,F,F,1,8,T,0,1,0,F,T,G,4,,,,1
Germany,2014,Portgual,4,0,50,F,F,T,1,8,T,0,2,0,F,T,G,4,,,,2
Germany,2014,US,1,0,33,F,F,T,1,8,T,0,1,0,F,T,G,1,,,,1
Germany,2014,US,1,0,68,F,F,F,1,8,T,0,1,0,F,T,G,1,,,,1
Germany,2018,Mexico,0,1,29,F,F,T,1,8,T,0,2,0,F,F,G,-1,,,,2
Spain,2010,Chile,2,1,28,F,F,T,1,8,T,0,2,0,F,T,G,1,,,,2
Spain,2010,Chile,2,1,54,F,F,F,1,8,T,0,2,0,F,T,G,1,,,,2
Spain,2010,Chile,2,1,79,F,F,F,1,8,T,0,1,0,F,T,G,1,,,,1
Spain,2010,Germany,1,0,6,F,F,F,1,8,T,0,1,0,F,T,SF,1,,,,1
Spain,2010,Germany,1,0,30,F,F,F,1,8,T,0,0,0,T,T,SF,1,,,,0
Spain,2010,Germany,1,0,82,F,F,F,1,8,T,0,1,0,F,T,SF,1,,,,1
Spain,2010,Netherlands,1,0,50,F,F,F,1,8,T,0,1,0,F,T,F,1,,,,1
Spain,2010,Portugal,1,0,67,F,F,T,1,8,T,0,1,0,F,T,S,1,,,,1
Spain,2014,Chile,0,2,43,F,F,F,1,8,T,0,2,0,F,F,G,-2,,,,2
Spain,2014,Chile,0,2,64,F,F,T,1,8,T,0,0,0,T,F,G,-2,,,,0
Spain,2018,Iran,1,0,25,NA,F,F,1,8,T,0,0,0,T,F,G,1,,,,0
Spain,2018,Iran,1,0,86,F,F,T,1,8,T,0,0,0,T,F,G,1,,,,0
Spain,2018,Iran,1,0,87,F,F,T,1,8,T,0,2,0,F,F,G,1,,,,2
Spain,2018,Iran,1,0,92,F,F,T,1,8,T,0,2,0,F,F,G,1,,,,2
Spain,2018,Iran,1,0,93,F,F,F,1,8,T,0,1,0,F,F,G,1,,,,1
Spain,2018,Portugal,3,3,56,F,F,T,1,8,T,0,1,0,F,F,G,0,,,,1
Spain,2018,Portugal,3,3,68,F,F,T,1,8,T,0,2,0,F,F,G,0,,,,2
Spain,2018,Portugal,3,3,88,F,F,T,1,8,T,0,2,0,F,F,G,0,,,,2
France,2014,Germany,0,1,30,F,F,F,1,9,F,0,1,0,F,F,QF,-1,,,,1
France,2014,Germany,0,1,41,F,F,T,1,9,F,0,2,0,F,F,QF,-1,,,,2
France,2014,Honduras,3,0,53,T,F,F,1,9,F,0,2,0,F,F,G,3,,,,2
France,2014,Nigeria,2,0,20,F,F,F,1,9,F,0,1,0,F,F,S,2,,,,1
France,2014,Nigeria,2,0,55,F,F,F,1,9,F,0,1,0,F,F,S,2,,,,1
France,2014,Switerland,5,2,64,F,F,T,1,9,F,0,2,0,F,F,G,3,,,,2
France,2018,Belgium,1,0,20,F,F,F,1,9,F,1,0,0,F,T,SF,1,,,,1
France,2018,Denmark,0,0,89,T,F,F,1,9,F,0,2,0,F,T,G,0,,,,2
Germany,2010,Serbia,0,1,20,F,F,F,1,9,T,0,1,0,F,F,G,-1,,,,1
Germany,2010,Serbia,0,1,42,F,F,F,1,9,T,0,1,0,F,F,G,-1,,,,1
Germany,2014,Algeria,2,1,7,F,F,T,1,9,T,0,1,0,F,T,S,1,,,,1
Germany,2014,Algeria,2,1,81,F,F,T,1,9,T,0,1,0,F,T,S,1,,,,1
Germany,2014,Argentina,1,0,2,F,F,F,1,9,T,0,1,0,F,T,F,1,,,,1
Germany,2014,Brazil,7,1,22,T,F,F,1,9,T,0,1,0,F,T,SF,6,,,,1
Germany,2014,Brazil,7,1,46,F,F,T,1,9,T,0,2,0,F,T,SF,6,,,,2
Germany,2014,Ghana,2,2,69,F,F,T,1,9,T,0,1,0,F,T,G,0,,,,1
Germany,2014,Ghana,2,2,98,F,F,F,1,9,T,0,1,0,F,T,G,0,,,,1
Germany,2014,US,1,0,11,F,F,T,1,9,T,0,1,0,F,T,G,1,,,,1
Germany,2014,US,1,0,19,F,F,F,1,9,T,0,2,0,F,T,G,1,,,,2
Germany,2014,US,1,0,26,F,F,T,1,9,T,0,1,0,F,T,G,1,,,,1
Germany,2018,Korea,0,2,38,F,F,T,1,9,T,0,2,0,F,F,G,-2,,,,2
Germany,2018,Korea,0,2,79,F,F,T,1,9,T,0,2,0,F,F,G,-2,,,,2
Germany,2018,Mexico,0,1,30,F,F,F,1,9,T,0,2,0,F,F,G,-1,,,,2
Germany,2018,Mexico,0,1,50,F,F,T,1,9,T,0,2,0,F,F,G,-1,,,,2
Germany,2018,Mexico,0,1,86,F,F,F,1,9,T,0,2,0,F,F,G,-1,,,,2
Germany,2018,Mexico,0,1,89,F,F,F,1,9,T,0,1,0,F,F,G,-1,,,,1
Germany,2018,Sweden,2,1,22,F,F,T,1,9,T,0,1,0,F,F,G,1,,,,1
Germany,2018,Sweden,2,1,41,F,F,T,1,9,T,0,0,0,T,F,G,1,,,,0
Spain,2010,Chile,2,1,5,F,F,F,1,9,T,0,1,0,F,T,G,1,,,,1
Spain,2010,Chile,2,1,19,F,F,F,1,9,T,0,1,0,F,T,G,1,,,,1
Spain,2010,Chile,2,1,63,F,F,F,1,9,T,0,2,0,F,T,G,1,,,,2
Spain,2010,Germany,1,0,72,F,F,F,1,9,T,0,1,0,F,T,SF,1,,,,1
Spain,2010,Germany,1,0,89,F,F,F,1,9,T,0,1,0,F,T,SF,1,,,,1
Spain,2010,Honduras,2,0,22,F,F,T,1,9,T,0,2,1,F,T,G,2,,,,3
Spain,2010,Honduras,2,0,41,F,F,F,1,9,T,0,1,0,F,T,G,2,,,,1
Spain,2010,Netherlands,1,0,37,F,F,F,1,9,T,0,1,0,F,T,F,1,,,,1
Spain,2010,Netherlands,1,0,48,F,F,F,1,9,T,0,0,0,T,T,F,1,,,,0
Spain,2010,Paraguary,1,0,54,F,F,F,1,9,T,0,1,0,F,T,QF,1,,,,1
Spain,2010,Switzerland,0,1,25,F,F,T,1,9,T,0,2,0,F,T,G,-1,,,,2
Spain,2010,Switzerland,0,1,38,F,F,T,1,9,T,0,2,0,F,T,G,-1,,,,2
Spain,2010,Switzerland,0,1,49,F,F,T,1,9,T,0,1,0,F,T,G,-1,,,,1
Spain,2010,Switzerland,0,1,103,F,F,F,1,9,T,0,1,0,F,T,G,-1,,,,1
Spain,2014,Chile,0,2,53,F,F,T,1,9,T,0,2,0,F,F,G,-2,,,,2
Spain,2014,Netherlands,1,5,60,F,F,F,1,9,T,0,2,0,F,F,G,-4,,,,2
Spain,2018,Iran,1,0,70,F,F,F,1,9,T,0,2,0,F,F,G,1,,,,2
Spain,2018,Iran,1,0,81,F,F,T,1,9,T,0,2,0,F,F,G,1,,,,2
Spain,2018,Iran,1,0,82,F,F,T,1,9,T,0,2,0,F,F,G,1,,,,2
Spain,2018,Morocco,2,2,31,F,F,T,1,9,T,0,2,0,F,F,G,0,,,,2
Spain,2018,Morocco,2,2,61,F,F,T,1,9,T,0,1,0,F,F,G,0,,,,1
Spain,2018,Morocco,2,2,74,F,F,T,1,9,T,0,2,0,F,F,G,0,,,,2
Spain,2018,Portugal,3,3,22,F,F,F,1,9,T,0,1,0,F,F,G,0,,,,1
Spain,2018,Russia,1,1,84,F,F,T,1,9,T,0,1,0,F,F,S,0,,,,1
